T_K,T_C,G_cu2o,G_cuo,G_cu,dG_cu2o_formation,dG_cuo_formation,dG_cu2o_per_O2,dG_cuo_per_O2
1272.7272727272727,999.5772727272728,-116816.78715399717,-126679.22205977826,-65083.884380222706,13350.981606448244,-61595.33767955555,26701.963212896488,-123190.6753591111
1281.818181818182,1008.668181818182,-117424.93799086679,-127224.10936003845,-65740.9507043736,14056.963417880397,-61483.158655664854,28113.926835760794,-122966.31731132971
1290.909090909091,1017.759090909091,-118034.94165020162,-127771.28580523349,-66399.9245693963,14764.90748859098,-61371.36123583719,29529.81497718196,-122742.72247167438
1300.0,1026.85,-118646.78830865727,-128320.74231472742,-67060.79453076633,15474.800752875395,-61259.94778396109,30949.60150575079,-122519.89556792218
1309.090909090909,1035.940909090909,-119260.468277451,-128872.46991933456,-67723.54929468753,16186.630311924062,-61148.92062464703,32373.260623848124,-122297.84124929406
1318.1818181818182,1045.0318181818184,-119875.97199963662,-129426.45975942485,-68388.17771498428,16900.383430331945,-61038.282044440566,33800.76686066389,-122076.56408888113
1327.2727272727275,1054.1227272727274,-120493.2900474507,-129982.70308306735,-69054.66879007874,17616.04753270677,-60928.03429298861,35232.09506541354,-121856.06858597722
1336.3636363636365,1063.2136363636364,-121112.41311973025,-130541.19124421041,-69723.01166004964,18333.610200369032,-60818.17958416077,36667.220400738064,-121636.35916832153
1345.4545454545455,1072.3045454545454,-121733.33203939734,-131101.91570089868,-70393.19560377029,19053.05916814324,-60708.72009712839,38106.11833628648,-121417.44019425678
1354.5454545454545,1081.3954545454544,-122356.03775100975,-131664.86801352445,-71065.21003612269,19774.382321235636,-60599.65797740176,39548.76464247127,-121199.31595480352
1363.6363636363637,1090.4863636363639,-122980.52131837519,-132230.0398431155,-71761.3818699554,20542.2424215356,-60468.657973160094,41084.4848430712,-120937.31594632019
1372.7272727272727,1099.5772727272729,-123606.773922227,-132797.4229496556,-72435.73243933645,21264.690956445906,-60361.69051031914,42529.38191289181,-120723.38102063828
1381.818181818182,1108.668181818182,-124234.7868579595,-133367.00919044024,-73111.97224588672,21989.157633813942,-60255.03694455352,43978.315267627884,-120510.07388910704
1390.909090909091,1117.759090909091,-124864.55153342086,-133938.79051846295,-73790.0888602343,22715.626187047746,-60148.701658228645,45431.25237409549,-120297.40331645729
1400.0,1126.85,-125496.05946676208,-134512.7589808363,-74470.07001548639,23444.0805642107,-60042.688965349924,46888.1611284214,-120085.37793069985
